A00-B99,특정 감염성 및 기생충성 질환,I. Certain infectious and parasitic diseases (A00-B99),
A00-A09,창자 감염 질환,Intestinal Infectious Diseases (A00-A09),
A00,콜레라,Cholera,
A00.0,비브리오 콜레리 01 전형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae",
A00.0,전형균에 의한 콜레라,Classical cholera,
A00.1,비브리오 콜레리 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor",
A00.1,엘토르형균에 의한 콜레라,Cholera eltor,
A00.9,상세불명의 콜레라,"Cholera,unspecified",
A01,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers,
A01.0,장티푸스,Typhoid fever,
A01.0,살모넬라 장티푸스균에 의한 감염,Infection due to Salmonella typhi,
A01.1,파라티푸스 A,Paratyphoid fever A,
A01.2,파라티푸스 B,Paratyphoid fever B,
A01.3,파라티푸스 C,Paratyphoid fever C,
A01.4,상세불명의 파라티푸스,"Paratyphoid fever,unspecified",
A01.4,상세불명의 살모넬라 파라티푸스균에 의한 감염,Infection due to Salmonella paratyphi NOS,
A02,기타 살모넬라 감염,Other salmonella infections,
A02,살모넬라 장티푸스와 살모넬라 파라티푸스 이외의 살모넬라종에 의하여 생긴 감염 또는 식중독,Other salmonella infection or foodborne intoxication due to any salmonella species other than S. typhi and S. paratyphi,
A02.0,살모넬라 창자염,Salmonella enteritis,
A02.0,살모넬라증,Salmonellosis,
A02.1,살모넬라 패혈증,Salmonella septicemia,
A02.2,국소성 살모넬라 감염,Localized salmonella infections,
A02.2,살모넬라 골수염,Salmonella osteomyelitis+ (M90.2*),
A02.2,살모넬라 관절염,Salmonella arthriis+ (M01.3*),
A02.2,살모넬라 수막염,Salmonella meningitis+ (G01*),
A02.2,살모넬라 세뇨관-사이질병,Salmonella renal tubulo-interstitial disease+ (N16.0*),
A02.2,살모넬라 폐렴,Salmonella pnemonia+ (J17.0*),
A02.8,기타 명시된 살모넬라 감염,Other specified salmonella infections,
A02.9,상세불명의 살모넬라 감염,"Salmonella infection,unspecified",
A03,이질,Shigellosis,
A03.0,시겔라 디센테리에 의한 이질,Shigellosis due to Shigella dysenteriae,
A03.0,A군 이질,Group A shigellosis [Shiga-Kruse dysentery],
A03.1,시겔라 플렉스너리에 의한 이질,Shigellosis due to Shigella flexneri,
A03.1,B군 이질,Group B shigellosis,
A03.2,시겔라 보이디에 의한 이질,Shigellosis due to Shigella boydii,
A03.2,C군 이질,Group C shigellosis,
A03.3,시겔라 소네이에 의한 이질,Shigellosis due to Shigella sonnei,
A03.3,D군 이질,Group D shigellosis,
A03.8,기타 이질,Other shigellosis,
A03.9,상세불명의 이질,"Shigellosis,unspecified",
A03.9,세균성 이질,Bacillary dysentery NOS,
A04,기타 세균성 창자 감염,Other bacterial intestinal infections,
A04.0,장 병원성 대장균 감염,Enteropathogenic Escherichia coli infection,
A04.1,장 독소생산 대장균 감염,Enterotoxigenic Escherichia coli infection,
A04.2,장 침투성 대장균 감염,Enteroinvasive Escherichia coli infection,
A04.3,장 출혈성 대장균 감염,Enterohemorrhagic Escherichia coli infection,
A04.4,기타 창자 대장균 감염,Other intestinal Escherichia coli infection,
A04.4,상세불명의 대장균 창자염,Escherichia coli enteritis NOS,
A04.5,캄필로박터 창자염,Campylobacter enteritis,
A04.6,예르시니아 엔테로콜리티카에 의한 창자염,Enteritis due to Yersinia enterocolitica,
A04.7,클로스트리듐 디피실리균에 의한 장결장염,Enteritis due to Clostridium difficile,
A04.7,클로스트리듐 디피실리에 의한 식중독,Foodborne intoxication by Clostridium difficile,
A04.7,가막성 대장염(큰창자염),Pseudomembranous colitis,
A04.8,기타 명시된 세균성 창자 감염,Other specified bacterial intestinal infections,
A04.9,상세불명의 세균성 창자염,Bacterial enteritis NOS,
